global_key,year,publisher,unique_global_key,count
aaai,2000,AAAI Press / The MIT Press,aaai,75
aaai,2002,AAAI Press / The MIT Press,aaai,74
aaai,2004,AAAI Press / The MIT Press,acl,53
aaai,2005,AAAI Press / The MIT Press,adbis,32
aaai,2006,AAAI Press,alt,17
aaai,2007,AAAI Press,cade,40
aaai,2008,AAAI Press,chi,39
aaai,2010,AAAI Press,cikm,79
aaai,2010,AAAI,colt,16
aaai,2010,AAAI,compgeom,17
aaai,2010,AAAI,concur,17
aaai,2010,AAAI,coopis,6
aaai,2010,AAAI,crypto,22
aaai,2010,AAAI,csmr,15
aaai,2010,AAAI,cvpr,28
aaai,2010,AAAI,dasfaa,30
aaai,2010,AAAI,dbpl,8
aaai,2011,AAAI Press,dolap,16
aaai,2011,AAAI,edbt,28
aaai,2011,AAAI,er,35
aaai,2011,AAAI,esa,18
aaai,2011,AAAI,eurocrypt,19
aaai,2011,AAAI,fase,17
aaai,2011,AAAI,focs,16
aaai,2011,AAAI,fse,17
aaai,2011,AAAI,fsttcs,16
aaai,2011,AAAI,gpce,19
aaai,2011,AAAI,icalp,27
aaai,2011,AAAI,iccv,9
aaai,2011,AAAI,icde,28
aaai,2011,AAAI,icdt,13
aaai,2011,AAAI,icml,22
aaai,2012,AAAI Press,icse,220
aaai,2013,AAAI Press,icsm,22
aaai,2013,AAAI,ijcai,34
aaai,2013,AAAI,infocom,22
aaai,2013,AAAI,ipco,11
aaai,2013,AAAI,isaac,17
aaai,2013,AAAI,issac,19
aaai,2013,AAAI,iwpc,17
aaai,2014,AAAI Press,kbse,22
aaai,2014,AAAI,kdd,65
aaai,2014,AAAI Press,latin,9
aaai,2014,AAAI,lfcs,4
aaai,2015,AAAI Press,lics,18
aaai,2015,AAAI Press,mfcs,19
aaai,2015,AAAI Press,mobicom,68
aaai,2015,AAAI Press,msr,12
aaai,2015,AAAI Press,nsdi,20
aaai,2015,AAAI Press,osdi,22
aaai,2015,AAAI Press,pldi,43
aaai,2015,AAAI Press,podc,20
aaai,2015,AAAI Press,pods,17
aaai,2015,AAAI Press,popl,27
aaai,2015,AAAI Press,recomb,24
aaai,2015,AAAI Press,ride,6
aaai,2015,AAAI Press,scam,15
aaai,2016,AAAI Press,sigcomm,40
aaai,2016,AAAI Press,sigir,30
aaai,2016,AAAI Press,sigmetrics,17
aaai,2016,AAAI Press,sigmod,52
aaai,2016,AAAI Press,soda,17
aaai,2016,AAAI Press,sosp,16
aaai,2016,AAAI Press,sp,22
aaai,2016,AAAI Press,spaa,14
aaai,2016,AAAI Press,ssdbm,17
aaai,2016,AAAI Press,stacs,17
aaai,2016,AAAI Press,stoc,17
aaai,2016,AAAI Press,swat,9
aaai,2016,AAAI Press,uist,24
aaai,2016,AAAI Press,vldb,27
aaai,2016,AAAI Press,wads,8
aaai,2016,AAAI Press,wcre,19
aaai,2000,\N,wdag,17
aaai,2000,\N,widm,10
acl,2000,ACL,www,50
acl,2001,Morgan Kaufmann Publishers,,
acl,2001,"CNRS, Toulose, France",,
acl,2002,ACL,,
acl,2002,ACL,,
acl,2003,ACL,,
acl,2003,The Association for Computer Linguistics,,
acl,2004,ACL,,
acl,2005,The Association for Computer Linguistics,,
acl,2006,The Association for Computer Linguistics,,
acl,2007,The Association for Computational Linguistics,,
acl,2008,The Association for Computer Linguistics,,
acl,2008,The Association for Computer Linguistics,,
acl,2008,The Association for Computer Linguistics,,
acl,2008,The Association for Computer Linguistics,,
acl,2008,The Association for Computer Linguistics,,
acl,2009,The Association for Computer Linguistics,,
acl,2009,The Association for Computer Linguistics,,
acl,2009,The Association for Computer Linguistics,,
acl,2009,The Association for Computer Linguistics,,
acl,2010,The Association for Computer Linguistics,,
acl,2010,The Association for Computer Linguistics,,
acl,2010,The Association for Computer Linguistics,,
acl,2010,The Association for Computer Linguistics,,
acl,2011,The Association for Computer Linguistics,,
acl,2011,The Association for Computer Linguistics,,
acl,2011,The Association for Computer Linguistics,,
acl,2011,The Association for Computer Linguistics,,
acl,2011,The Association for Computer Linguistics,,
acl,2012,The Association for Computer Linguistics,,
acl,2012,The Association for Computer Linguistics,,
acl,2012,The Association for Computer Linguistics,,
acl,2012,The Association for Computer Linguistics,,
acl,2013,The Association for Computer Linguistics,,
acl,2013,The Association for Computer Linguistics,,
acl,2013,The Association for Computer Linguistics,,
acl,2013,The Association for Computer Linguistics,,
acl,2013,The Association for Computer Linguistics,,
acl,2014,The Association for Computer Linguistics,,
acl,2014,The Association for Computer Linguistics,,
acl,2014,The Association for Computer Linguistics,,
acl,2014,The Association for Computer Linguistics,,
acl,2014,The Association for Computer Linguistics,,
acl,2014,The Association for Computer Linguistics,,
acl,2015,The Association for Computer Linguistics,,
acl,2015,The Association for Computer Linguistics,,
acl,2015,The Association for Computer Linguistics,,
acl,2015,The Association for Computer Linguistics,,
acl,2015,The Association for Computer Linguistics,,
acl,2016,The Association for Computer Linguistics,,
acl,2016,The Association for Computer Linguistics,,
acl,2016,The Association for Computer Linguistics,,
acl,2016,The Association for Computer Linguistics,,
adbis,2000,Springer,,
adbis,2000,"Matfyz Press, Vydavatelstvi, Matematicko-Fyzikalni Fakulty, Unverzity Karlovy",,
adbis,2001,Springer,,
adbis,2002,Springer,,
adbis,2002,"Slovak University of Technology, Bratislava",,
adbis,2003,Springer,,
adbis,2004,Springer,,
adbis,2005,Springer,,
adbis,2005,CEUR-WS.org,,
adbis,2006,Springer,,
adbis,2006,CEUR-WS.org,,
adbis,2007,Springer,,
adbis,2008,CEUR-WS.org,,
adbis,2008,Springer,,
adbis,2008,Tampere University of Technology. Pori. Publication,,
adbis,2009,Springer,,
adbis,2010,Springer,,
adbis,2010,Springer,,
adbis,2010,CEUR-WS.org,,
adbis,2011,Springer,,
adbis,2011,CEUR-WS.org,,
adbis,2012,Springer,,
adbis,2013,Springer,,
adbis,2013,Springer,,
adbis,2013,Springer,,
adbis,2014,Springer,,
adbis,2014,Springer,,
adbis,2015,Springer,,
adbis,2015,Springer,,
adbis,2015,Springer,,
adbis,2016,Springer,,
adbis,2016,Springer,,
alt,2000,Springer,,
alt,2001,Springer,,
alt,2002,Springer,,
alt,2003,Springer,,
alt,2004,Springer,,
alt,2005,Springer,,
alt,2006,Springer,,
alt,2007,Springer,,
alt,2008,Springer,,
alt,2009,Springer,,
alt,2010,Springer,,
alt,2011,Springer,,
alt,2012,Springer,,
alt,2013,Springer,,
alt,2014,Springer,,
alt,2015,Springer,,
alt,2016,\N,,
cade,2000,Springer,,
cade,2001,Springer,,
cade,2002,Springer,,
cade,2003,Springer,,
cade,2004,Springer,,
cade,2004,CEUR-WS.org,,
cade,2005,Springer,,
cade,2006,Springer,,
cade,2007,Springer,,
cade,2007,CEUR-WS.org,,
cade,2007,CEUR-WS.org,,
cade,2008,Springer,,
cade,2008,CEUR-WS.org,,
cade,2008,CEUR-WS.org,,
cade,2009,Springer,,
cade,2010,Springer,,
cade,2012,EasyChair,,
cade,2012,EasyChair,,
cade,2010,CEUR-WS.org,,
cade,2012,EasyChair,,
cade,2012,EasyChair,,
cade,2011,Springer,,
cade,2012,Springer,,
cade,2013,EasyChair,,
cade,2012,CEUR-WS.org,,
cade,2013,EasyChair,,
cade,2013,EasyChair,,
cade,2014,EasyChair,,
cade,2013,Springer,,
cade,2013,EasyChair,,
cade,2014,Springer,,
cade,2016,EasyChair,,
cade,2015,EasyChair,,
cade,2015,EasyChair,,
cade,2014,CEUR-WS.org,,
cade,2015,Springer,,
cade,2015,CEUR-WS.org,,
cade,2016,Springer,,
cade,2016,CEUR-WS.org,,
cade,2016,CEUR-WS.org,,
chi,2000,ACM,,
chi,2000,ACM,,
chi,2001,ACM,,
chi,2001,ACM,,
chi,2002,ACM,,
chi,2002,ACM,,
chi,2002,ACM,,
chi,2003,ACM,,
chi,2003,ACM,,
chi,2004,ACM,,
chi,2004,ACM,,
chi,2005,Springer,,
chi,2005,ACM,,
chi,2005,ACM,,
chi,2006,ACM,,
chi,2006,ACM,,
chi,2007,ACM,,
chi,2007,ACM,,
chi,2008,ACM,,
chi,2008,ACM,,
chi,2008,ACM,,
chi,2009,ACM,,
chi,2009,ACM,,
chi,2010,ACM,,
chi,2010,ACM,,
chi,2011,ACM,,
chi,2011,ACM,,
chi,2012,ACM,,
chi,2012,ACM,,
chi,2013,ACM,,
chi,2013,ACM,,
chi,2013,CEUR-WS.org,,
chi,2014,ACM,,
chi,2014,ACM,,
chi,2015,ACM,,
chi,2015,ACM,,
chi,2016,ACM,,
chi,2016,ACM,,
chi,2016,ACM,,
cikm,2000,ACM,,
cikm,2001,ACM,,
cikm,2002,ACM,,
cikm,2003,ACM,,
cikm,2004,ACM,,
cikm,2005,ACM,,
cikm,2005,ACM,,
cikm,2006,ACM,,
cikm,2007,ACM,,
cikm,2007,ACM,,
cikm,2007,ACM,,
cikm,2008,ACM,,
cikm,2008,ACM,,
cikm,2008,ACM,,
cikm,2008,ACM,,
cikm,2008,ACM,,
cikm,2008,ACM,,
cikm,2008,ACM,,
cikm,2008,ACM,,
cikm,2008,ACM,,
cikm,2008,ACM,,
cikm,2009,ACM,,
cikm,2009,ACM,,
cikm,2009,ACM,,
cikm,2009,ACM,,
cikm,2009,ACM,,
cikm,2009,ACM,,
cikm,2009,ACM,,
cikm,2010,ACM,,
cikm,2010,ACM,,
cikm,2010,ACM,,
cikm,2010,ACM,,
cikm,2010,ACM,,
cikm,2011,ACM,,
cikm,2011,ACM,,
cikm,2011,ACM,,
cikm,2011,ACM,,
cikm,2011,ACM,,
cikm,2012,ACM,,
cikm,2012,ACM,,
cikm,2012,ACM,,
cikm,2012,ACM,,
cikm,2012,ACM,,
cikm,2012,ACM,,
cikm,2012,ACM,,
cikm,2012,ACM,,
cikm,2012,ACM,,
cikm,2013,ACM,,
cikm,2013,ACM,,
cikm,2013,ACM,,
cikm,2013,ACM,,
cikm,2013,ACM,,
cikm,2013,ACM,,
cikm,2013,ACM,,
cikm,2013,ACM,,
cikm,2013,ACM,,
cikm,2013,ACM,,
cikm,2013,ACM,,
cikm,2013,ACM,,
cikm,2013,ACM,,
cikm,2013,ACM,,
cikm,2014,ACM,,
cikm,2014,ACM,,
cikm,2014,ACM,,
cikm,2014,ACM,,
cikm,2014,ACM,,
cikm,2014,ACM,,
cikm,2014,ACM,,
cikm,2015,ACM,,
cikm,2015,ACM,,
cikm,2015,ACM,,
cikm,2015,ACM,,
cikm,2015,ACM,,
cikm,2015,ACM,,
cikm,2015,ACM,,
cikm,2015,ACM,,
cikm,2015,ACM,,
cikm,2016,ACM,,
cikm,2016,ACM,,
colt,2000,Morgan Kaufmann,,
colt,2001,Springer,,
colt,2002,Springer,,
colt,2003,Springer,,
colt,2004,Springer,,
colt,2005,Springer,,
colt,2006,Springer,,
colt,2007,Springer,,
colt,2008,Omnipress,,
colt,2009,\N,,
colt,2010,Omnipress,,
colt,2012,JMLR.org,,
colt,2013,JMLR.org,,
colt,2014,JMLR.org,,
colt,2015,JMLR.org,,
colt,2016,JMLR.org,,
compgeom,2000,ACM,,
compgeom,2001,ACM,,
compgeom,2002,ACM,,
compgeom,2003,ACM,,
compgeom,2004,ACM,,
compgeom,2005,ACM,,
compgeom,2006,ACM,,
compgeom,2007,ACM,,
compgeom,2008,ACM,,
compgeom,2009,ACM,,
compgeom,2010,ACM,,
compgeom,2011,ACM,,
compgeom,2012,ACM,,
compgeom,2013,ACM,,
compgeom,2014,ACM,,
compgeom,2015,Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik,,
compgeom,2016,Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik,,
concur,2000,Springer,,
concur,2001,Springer,,
concur,2002,Springer,,
concur,2003,Springer,,
concur,2004,Springer,,
concur,2005,Springer,,
concur,2006,Springer,,
concur,2007,Springer,,
concur,2008,Springer,,
concur,2009,Springer,,
concur,2010,Springer,,
concur,2011,Springer,,
concur,2012,Springer,,
concur,2013,Springer,,
concur,2014,Springer,,
concur,2015,Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik,,
concur,2016,Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik,,
coopis,2000,Springer,,
coopis,2001,Springer,,
coopis,2002,Springer,,
coopis,2003,Springer,,
coopis,2004,Springer,,
coopis,2004,Springer,,
crypto,2000,Springer,,
crypto,2001,Springer,,
crypto,2002,Springer,,
crypto,2003,Springer,,
crypto,2004,Springer,,
crypto,2005,Springer,,
crypto,2006,Springer,,
crypto,2007,Springer,,
crypto,2008,Springer,,
crypto,2009,Springer,,
crypto,2010,Springer,,
crypto,2011,Springer,,
crypto,2012,Springer,,
crypto,2013,Springer,,
crypto,2013,Springer,,
crypto,2014,Springer,,
crypto,2014,Springer,,
crypto,2015,Springer,,
crypto,2015,Springer,,
crypto,2016,Springer,,
crypto,2016,Springer,,
crypto,2016,Springer,,
csmr,2000,IEEE Computer Society,,
csmr,2001,IEEE Computer Society,,
csmr,2002,IEEE Computer Society,,
csmr,2003,IEEE Computer Society,,
csmr,2004,IEEE Computer Society,,
csmr,2005,IEEE Computer Society,,
csmr,2006,IEEE Computer Society,,
csmr,2007,IEEE Computer Society,,
csmr,2008,IEEE Computer Society,,
csmr,2009,IEEE Computer Society,,
csmr,2010,IEEE Computer Society,,
csmr,2011,IEEE Computer Society,,
csmr,2012,IEEE Computer Society,,
csmr,2013,IEEE Computer Society,,
csmr,2014,IEEE Computer Society,,
cvpr,2000,IEEE Computer Society,,
cvpr,2001,IEEE Computer Society,,
cvpr,2003,IEEE Computer Society,,
cvpr,2003,IEEE Computer Society,,
cvpr,2004,IEEE Computer Society,,
cvpr,2004,IEEE Computer Society,,
cvpr,2005,IEEE Computer Society,,
cvpr,2005,IEEE Computer Society,,
cvpr,2006,IEEE Computer Society,,
cvpr,2006,IEEE Computer Society,,
cvpr,2007,IEEE Computer Society,,
cvpr,2008,IEEE Computer Society,,
cvpr,2008,IEEE Computer Society,,
cvpr,2009,IEEE Computer Society,,
cvpr,2009,IEEE Computer Society,,
cvpr,2010,IEEE Computer Society,,
cvpr,2010,IEEE Computer Society,,
cvpr,2011,IEEE Computer Society,,
cvpr,2011,IEEE Computer Society,,
cvpr,2012,IEEE Computer Society,,
cvpr,2012,IEEE Computer Society,,
cvpr,2013,IEEE Computer Society,,
cvpr,2013,IEEE Computer Society,,
cvpr,2014,IEEE Computer Society,,
cvpr,2014,IEEE Computer Society,,
cvpr,2015,IEEE Computer Society,,
cvpr,2015,IEEE Computer Society,,
cvpr,2016,IEEE Computer Society,,
dasfaa,2001,IEEE Computer Society,,
dasfaa,2003,IEEE Computer Society,,
dasfaa,2004,Springer,,
dasfaa,2005,Springer,,
dasfaa,2006,Springer,,
dasfaa,2007,Springer,,
dasfaa,2008,Springer,,
dasfaa,2009,Springer,,
dasfaa,2009,Springer,,
dasfaa,2010,Springer,,
dasfaa,2010,Springer,,
dasfaa,2010,Springer,,
dasfaa,2011,Springer,,
dasfaa,2011,Springer,,
dasfaa,2011,Springer,,
dasfaa,2012,Springer,,
dasfaa,2012,Springer,,
dasfaa,2012,Springer,,
dasfaa,2013,Springer,,
dasfaa,2013,Springer,,
dasfaa,2013,Springer,,
dasfaa,2014,Springer,,
dasfaa,2014,Springer,,
dasfaa,2014,Springer,,
dasfaa,2015,Springer,,
dasfaa,2015,Springer,,
dasfaa,2015,Springer,,
dasfaa,2016,Springer,,
dasfaa,2016,Springer,,
dasfaa,2016,Springer,,
dbpl,2000,Springer,,
dbpl,2002,Springer,,
dbpl,2004,Springer,,
dbpl,2005,Springer,,
dbpl,2007,Springer,,
dbpl,2009,Springer,,
dbpl,2011,\N,,
dbpl,2015,ACM,,
dolap,2000,ACM,,
dolap,2001,ACM,,
dolap,2002,ACM,,
dolap,2003,ACM,,
dolap,2004,ACM,,
dolap,2005,ACM,,
dolap,2006,ACM,,
dolap,2007,ACM,,
dolap,2008,ACM,,
dolap,2009,ACM,,
dolap,2010,ACM,,
dolap,2011,ACM,,
dolap,2012,ACM,,
dolap,2013,ACM,,
dolap,2014,ACM,,
dolap,2015,ACM,,
edbt,2000,Springer,,
edbt,2002,Springer,,
edbt,2002,Matfyzpress,,
edbt,2004,Springer,,
edbt,2006,Springer,,
edbt,2008,ACM,,
edbt,2008,ACM,,
edbt,2008,ACM,,
edbt,2008,University of Magdeburg,,
edbt,2008,ACM,,
edbt,2009,ACM,,
edbt,2010,ACM,,
edbt,2011,ACM,,
edbt,2011,ACM,,
edbt,2011,ACM,,
edbt,2011,ACM,,
edbt,2011,ACM,,
edbt,2011,ACM,,
edbt,2012,ACM,,
edbt,2012,ACM,,
edbt,2013,ACM,,
edbt,2013,ACM,,
edbt,2014,OpenProceedings.org,,
edbt,2014,CEUR-WS.org,,
edbt,2015,OpenProceedings.org,,
edbt,2015,CEUR-WS.org,,
edbt,2016,OpenProceedings.org,,
edbt,2016,CEUR-WS.org,,
er,2000,Springer,,
er,2001,Springer,,
er,2002,Springer,,
er,2002,Springer,,
er,2003,Springer,,
er,2003,Springer,,
er,2004,Springer,,
er,2004,Springer,,
er,2005,Springer,,
er,2005,Springer,,
er,2006,Springer,,
er,2008,Springer,,
er,2006,Springer,,
er,2007,Springer,,
er,2007,Australian Computer Society,,
er,2007,Springer,,
er,2008,Springer,,
er,2008,Springer,,
er,2009,Springer,,
er,2010,CEUR-WS.org,,
er,2009,Springer,,
er,2010,Springer,,
er,2010,Springer,,
er,2011,Springer,,
er,2011,Springer,,
er,2012,Springer,,
er,2012,Springer,,
er,2013,Springer,,
er,2014,Springer,,
er,2014,Springer,,
er,2014,Springer,,
er,2015,Springer,,
er,2015,Springer,,
er,2016,\N,,
er,2016,\N,,
esa,2000,Springer,,
esa,2001,Springer,,
esa,2002,Springer,,
esa,2003,Springer,,
esa,2004,Springer,,
esa,2005,Springer,,
esa,2006,Springer,,
esa,2007,Springer,,
esa,2008,Springer,,
esa,2009,Springer,,
esa,2010,Springer,,
esa,2010,Springer,,
esa,2011,Springer,,
esa,2012,Springer,,
esa,2013,Springer,,
esa,2014,Springer,,
esa,2015,Springer,,
esa,2016,Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik,,
eurocrypt,2000,Springer,,
eurocrypt,2001,Springer,,
eurocrypt,2002,Springer,,
eurocrypt,2003,Springer,,
eurocrypt,2004,Springer,,
eurocrypt,2005,Springer,,
eurocrypt,2006,Springer,,
eurocrypt,2007,Springer,,
eurocrypt,2008,Springer,,
eurocrypt,2009,Springer,,
eurocrypt,2010,Springer,,
eurocrypt,2011,Springer,,
eurocrypt,2012,Springer,,
eurocrypt,2013,Springer,,
eurocrypt,2014,Springer,,
eurocrypt,2015,Springer,,
eurocrypt,2015,Springer,,
eurocrypt,2016,Springer,,
eurocrypt,2016,Springer,,
fase,2000,Springer,,
fase,2001,Springer,,
fase,2002,Springer,,
fase,2003,Springer,,
fase,2004,Springer,,
fase,2005,Springer,,
fase,2006,Springer,,
fase,2007,Springer,,
fase,2008,Springer,,
fase,2009,Springer,,
fase,2010,Springer,,
fase,2011,Springer,,
fase,2012,Springer,,
fase,2013,Springer,,
